
====================================================================================================
ANNOTATION COUNT REPORT - USMLE Sample Dataset
====================================================================================================

Total unique cases with annotations: 209
Models found: deepseek, llama, llama_large, llama_small

Goal: 3 annotations per case per model

====================================================================================================
Case ID                    deepseek          llama    llama_large    llama_small          Total
----------------------------------------------------------------------------------------------------
usmle_sample_0                    0              0              1              1              2
usmle_sample_1                    0              1              1              5              7
usmle_sample_2                    1              0              1              0              2
usmle_sample_3                    1              1              2              2              6
usmle_sample_4                    1              1              0              0              2
usmle_sample_5                    0              0              0              2              2
usmle_sample_7                    0              0              0              1              1
usmle_sample_8                    0              0              1              1              2
usmle_sample_9                    0              1              1              0              2
usmle_sample_11                   0              0              0              2              2
usmle_sample_12                   0              0              1              0              1
usmle_sample_13                   0              1              0              0              1
usmle_sample_14                   0              0              0              2              2
usmle_sample_15                   0              0              0              3              3
usmle_sample_16                   0              0              0              1              1
usmle_sample_17                   1              1              0              0              2
usmle_sample_18                   0              1              1              0              2
usmle_sample_22                   0              0              1              0              1
usmle_sample_26                   0              0              0              2              2
usmle_sample_30                   0              0              1              0              1
usmle_sample_31                   0              0              0              2              2
usmle_sample_34                   0              1              0              0              1
usmle_sample_35                   0              1              0              0              1
usmle_sample_37                   1              0              0              0              1
usmle_sample_38                   0              0              0              1              1
usmle_sample_39                   0              0              1              0              1
usmle_sample_43                   0              0              1              0              1
usmle_sample_45                   1              0              0              0              1
usmle_sample_46                   0              0              0              2              2
usmle_sample_47                   1              1              0              0              2
usmle_sample_48                   0              0              1              0              1
usmle_sample_49                   1              0              0              0              1
usmle_sample_55                   0              0              1              0              1
usmle_sample_57                   1              0              0              0              1
usmle_sample_59                   0              1              1              2              4
usmle_sample_61                   0              1              0              0              1
usmle_sample_62                   1              0              0              1              2
usmle_sample_63                   0              0              1              0              1
usmle_sample_66                   0              0              0              2              2
usmle_sample_67                   1              0              0              2              3
usmle_sample_68                   0              1              0              0              1
usmle_sample_70                   0              0              1              0              1
usmle_sample_71                   0              0              0              2              2
usmle_sample_74                   1              0              0              2              3
usmle_sample_76                   1              1              0              0              2
usmle_sample_78                   0              1              0              0              1
usmle_sample_79                   0              0              0              1              1
usmle_sample_80                   0              1              0              2              3
usmle_sample_82                   0              0              0              1              1
usmle_sample_83                   0              1              0              0              1
usmle_sample_87                   0              0              0              2              2
usmle_sample_89                   0              0              0              1              1
usmle_sample_90                   0              1              0              1              2
usmle_sample_92                   0              0              1              0              1
usmle_sample_95                   1              0              0              1              2
usmle_sample_97                   0              0              0              1              1
usmle_sample_100                  1              0              0              0              1
usmle_sample_106                  0              0              1              0              1
usmle_sample_108                  0              0              1              0              1
usmle_sample_109                  0              1              0              0              1
usmle_sample_110                  0              0              1              0              1
usmle_sample_113                  1              0              0              0              1
usmle_sample_114                  0              0              0              1              1
usmle_sample_115                  0              1              1              0              2
usmle_sample_116                  0              1              0              0              1
usmle_sample_119                  0              0              0              2              2
usmle_sample_120                  0              0              0              1              1
usmle_sample_121                  1              0              0              0              1
usmle_sample_123                  1              0              1              1              3
usmle_sample_124                  0              1              0              2              3
usmle_sample_125                  0              0              1              2              3
usmle_sample_128                  0              0              0              1              1
usmle_sample_129                  0              0              0              1              1
usmle_sample_131                  1              0              0              1              2
usmle_sample_134                  0              1              0              0              1
usmle_sample_135                  0              1              0              0              1
usmle_sample_136                  0              0              0              2              2
usmle_sample_137                  0              0              0              1              1
usmle_sample_138                  0              1              1              0              2
usmle_sample_140                  0              0              0              2              2
usmle_sample_141                  1              0              0              0              1
usmle_sample_143                  1              0              0              0              1
usmle_sample_144                  1              0              0              0              1
usmle_sample_145                  0              0              1              0              1
usmle_sample_147                  0              0              1              0              1
usmle_sample_148                  0              0              1              0              1
usmle_sample_149                  0              0              0              1              1
usmle_sample_150                  0              0              0              1              1
usmle_sample_152                  0              1              0              0              1
usmle_sample_154                  0              0              0              2              2
usmle_sample_155                  0              0              1              0              1
usmle_sample_156                  0              0              1              0              1
usmle_sample_157                  0              0              1              0              1
usmle_sample_159                  0              1              0              1              2
usmle_sample_160                  1              0              0              0              1
usmle_sample_164                  0              1              0              0              1
usmle_sample_166                  0              0              0              2              2
usmle_sample_167                  0              0              0              1              1
usmle_sample_168                  0              0              0              1              1
usmle_sample_169                  1              0              0              1              2
usmle_sample_170                  0              0              0              2              2
usmle_sample_171                  0              0              1              0              1
usmle_sample_173                  1              0              0              0              1
usmle_sample_174                  0              1              0              0              1
usmle_sample_175                  1              0              1              1              3
usmle_sample_176                  0              1              0              0              1
usmle_sample_177                  0              1              0              1              2
usmle_sample_178                  0              0              0              1              1
usmle_sample_179                  0              0              1              1              2
usmle_sample_181                  0              0              1              0              1
usmle_sample_185                  0              0              0              1              1
usmle_sample_187                  0              0              0              2              2
usmle_sample_188                  1              0              0              1              2
usmle_sample_189                  1              0              0              1              2
usmle_sample_190                  1              0              1              0              2
usmle_sample_193                  0              1              0              3              4
usmle_sample_194                  0              0              0              1              1
usmle_sample_195                  0              1              0              1              2
usmle_sample_196                  0              0              0              1              1
usmle_sample_197                  0              0              1              2              3
usmle_sample_198                  0              0              0              1              1
usmle_sample_200                  0              0              0              2              2
usmle_sample_201                  0              0              0              2              2
usmle_sample_202                  0              0              0              1              1
usmle_sample_203                  0              0              1              2              3
usmle_sample_204                  1              0              1              0              2
usmle_sample_206                  1              0              1              0              2
usmle_sample_207                  0              0              0              2              2
usmle_sample_208                  1              1              0              1              3
usmle_sample_209                  0              0              0              1              1
usmle_sample_210                  0              0              0              1              1
usmle_sample_211                  0              0              0              1              1
usmle_sample_213                  0              1              1              0              2
usmle_sample_215                  0              0              0              1              1
usmle_sample_216                  0              1              1              1              3
usmle_sample_218                  0              1              0              1              2
usmle_sample_219                  0              0              1              1              2
usmle_sample_221                  0              1              0              0              1
usmle_sample_224                  0              0              0              1              1
usmle_sample_225                  0              0              1              0              1
usmle_sample_227                  1              0              0              0              1
usmle_sample_228                  0              0              0              1              1
usmle_sample_229                  0              0              1              0              1
usmle_sample_230                  0              0              1              1              2
usmle_sample_231                  0              0              1              0              1
usmle_sample_232                  0              1              0              2              3
usmle_sample_235                  0              0              0              1              1
usmle_sample_236                  1              0              0              0              1
usmle_sample_237                  1              1              1              1              4
usmle_sample_239                  1              0              0              0              1
usmle_sample_241                  1              0              0              0              1
usmle_sample_243                  1              0              0              0              1
usmle_sample_245                  1              0              1              0              2
usmle_sample_246                  1              0              0              2              3
usmle_sample_250                  1              0              0              0              1
usmle_sample_251                  0              0              0              1              1
usmle_sample_253                  1              0              0              0              1
usmle_sample_254                  0              0              1              0              1
usmle_sample_255                  0              1              0              0              1
usmle_sample_257                  0              0              0              1              1
usmle_sample_258                  1              0              0              1              2
usmle_sample_260                  0              1              0              1              2
usmle_sample_263                  0              0              0              2              2
usmle_sample_268                  0              0              0              1              1
