annotator_id,case_id,agent_name,agent_model,correct_answer,correct_answer_idx,step1_answer,step1_answer_belief,step1_is_correct,step2_answer,step2_answer_belief,step2_is_correct,step3_answer,step3_answer_belief,step3_is_correct,answer_changed_1_to_2,answer_belief_changed_1_to_2,answer_changed_2_to_3,answer_belief_changed_2_to_3,belief_change_1_to_2,belief_change_2_to_3,correct_to_incorrect,incorrect_to_correct,num_highlights,num_highlights_step2,session_start,step1_time,step2_time,step3_time,time_step1_seconds,time_step2_seconds,time_step3_seconds
6745f73ee7541460adbabcff,usmle_sample_0,default_agent,meta-llama/llama-3.3-70b-instruct,Binding to the 30S ribosomal protein,B,B,0.14,True,B,0.14,True,B,0.14,True,False,False,False,False,0.0,0.0,False,False,0,0,2026-01-20T16:20:17.851068,2026-01-20T16:20:57.364261,2026-01-20T16:23:14.997327,2026-01-20T16:24:04.386876,39.513193,137.633066,49.389549
67e494e108181d6621738771,usmle_sample_0,default_agent,meta-llama/llama-3.1-405b-instruct,Binding to the 30S ribosomal protein,B,B,0.8,True,B,0.8,True,B,0.8,True,False,False,False,False,0.0,0.0,False,False,0,0,2026-01-13T10:02:00.294178,2026-01-13T10:02:50.059006,2026-01-13T10:03:59.158720,2026-01-13T10:06:36.058660,49.764828,69.099714,156.89994
anonymous,usmle_sample_0,default_agent,allenai/Llama-3.1-Tulu-3-8B-DPO,Binding to the 30S ribosomal protein,B,A,0.5,False,C,0.5,False,C,0.5,False,True,False,False,False,0.0,0.0,False,False,0,0,2025-11-19T17:24:50.256238,2025-11-19T17:27:20.482084,2025-11-19T17:27:54.699834,2025-11-19T17:27:57.177938,150.225846,34.21775,2.478104
66aba95407d5b1630abb7bb0,usmle_sample_100,default_agent,deepseek/deepseek-chat-v3.1,Hypogonadotropic hypogonadism,B,D,0.67,False,B,0.74,True,B,0.74,True,True,True,False,False,0.06999999999999995,0.0,False,True,0,0,2026-01-13T21:55:02.047282,2026-01-13T22:04:51.336932,2026-01-13T22:06:08.392791,2026-01-13T22:07:22.106183,589.28965,77.055859,73.713392
69b0b8a2adb0a49e29de3cc1,usmle_sample_100,default_agent,openai/gpt-5.1,Hypogonadotropic hypogonadism,B,C,0.5,False,C,0.75,False,C,0.75,False,False,True,False,False,0.25,0.0,False,False,0,0,2026-03-28T16:21:23.631039,2026-03-28T16:21:56.380918,2026-03-28T16:22:51.367843,2026-03-28T16:23:40.863574,32.749879,54.986925,49.495731
674f4f07fed5b01b07c92929,usmle_sample_101,default_agent,meta-llama/llama-3.1-405b-instruct,Pulmonary hypoplasia,C,A,0.0,False,A,0.0,False,A,0.0,False,False,False,False,False,0.0,0.0,False,False,0,0,2026-01-20T17:22:55.830628,2026-01-20T17:29:36.140729,2026-01-20T17:29:39.304489,2026-01-20T17:30:03.966518,400.310101,3.16376,24.662029
69419eca87fc68626229e4fc,usmle_sample_103,default_agent,allenai/Llama-3.1-Tulu-3-8B-DPO,Ribosomal assembly,E,A,0.0,False,A,0.47,False,A,0.47,False,False,True,False,False,0.47,0.0,False,False,1,1,2026-01-22T23:25:27.373182,2026-01-22T23:30:55.039981,2026-01-22T23:32:51.967269,2026-01-22T23:34:13.743467,327.666799,116.927288,81.776198
anonymous,usmle_sample_103,default_agent,deepseek/deepseek-chat-v3.1,Ribosomal assembly,E,E,0.36,True,E,0.51,True,E,0.51,True,False,True,False,False,0.15000000000000002,0.0,False,False,0,0,2026-01-20T21:42:00.880262,2026-01-20T21:45:32.489313,2026-01-20T21:45:50.663922,2026-01-20T21:46:08.684377,211.609051,18.174609,18.020455
663e40cb2b99c777c91d0827,usmle_sample_106,default_agent,meta-llama/llama-3.1-405b-instruct,Inactivation of cellular p53,A,A,0.37,True,B,0.44,False,B,0.44,False,True,True,False,False,0.07,0.0,True,False,0,0,2026-01-13T16:11:43.573538,2026-01-13T16:15:51.418303,2026-01-13T16:16:58.965964,2026-01-13T16:17:58.371523,247.844765,67.547661,59.405559
6652269eea4a0dfa62f2f0ee,usmle_sample_107,default_agent,allenai/Llama-3.1-Tulu-3-8B-SFT,Erythropoietin,A,C,0.05,False,A,0.87,True,A,0.87,True,True,True,False,False,0.82,0.0,False,True,1,0,2026-01-25T19:24:08.443533,2026-01-25T19:35:41.008764,2026-01-25T19:36:29.727892,2026-01-25T19:38:20.120200,692.565231,48.719128,110.392308
67583c76e3d1f76befe8ce5b,usmle_sample_108,default_agent,meta-llama/llama-3.1-405b-instruct,Total peripheral resistance,F,F,0.48,True,F,0.65,True,F,0.65,True,False,True,False,False,0.17000000000000004,0.0,False,False,0,0,2026-01-13T14:16:10.690349,2026-01-13T14:24:46.884002,2026-01-13T14:25:16.333329,2026-01-13T14:27:02.822423,516.193653,29.449327,106.489094
66c1c5cb4b460dacc8290b9e,usmle_sample_109,default_agent,meta-llama/llama-3.3-70b-instruct,Adenovirus,A,A,0.6,True,A,0.6,True,A,0.6,True,False,False,False,False,0.0,0.0,False,False,4,4,2026-01-13T18:30:36.691485,2026-01-13T18:35:35.463668,2026-01-13T18:36:07.459952,2026-01-13T18:37:06.101244,298.772183,31.996284,58.641292
64076650d1ef76bd7e9bc04b,usmle_sample_110,default_agent,meta-llama/llama-3.1-405b-instruct,Hypertension and muscle weakness,B,E,1.0,False,E,1.0,False,E,1.0,False,False,False,False,False,0.0,0.0,False,False,1,1,2026-01-13T17:51:04.358390,2026-01-13T18:04:00.222971,2026-01-13T18:04:26.167450,2026-01-13T18:06:25.005049,775.864581,25.944479,118.837599
6652269eea4a0dfa62f2f0ee,usmle_sample_111,default_agent,allenai/Llama-3.1-Tulu-3-8B-SFT,Patellar ligament,C,C,0.46,True,C,0.02,True,C,1.0,True,False,True,False,True,-0.44,0.98,False,False,1,1,2026-01-25T19:24:08.443533,2026-01-25T19:39:22.996281,2026-01-25T19:40:35.055669,2026-01-25T19:41:28.786311,914.552748,72.059388,53.730642
